epoch,phase,acc
1,train,85.3169
1,dev,63.7558
2,train,89.2746
2,dev,72.4591
3,train,90.4722
3,dev,65.6688
4,train,90.9587
4,dev,73.9632
5,train,91.3330
5,dev,68.5456
6,train,91.5762
6,dev,80.6367
7,train,92.1625
7,dev,80.0380
8,train,92.3528
8,dev,80.7827
9,train,92.3590
9,dev,77.0736
10,train,92.6148
10,dev,79.3078
11,train,93.2884
11,dev,76.7231
12,train,93.4069
12,dev,77.8183
13,train,93.7874
13,dev,77.7599
14,train,93.7750
14,dev,77.4387
15,train,94.2116
15,dev,79.6145
16,train,94.1897
16,dev,75.6133
17,train,94.3987
17,dev,75.2336
18,train,94.4268
18,dev,74.4159
19,train,94.3301
19,dev,77.6577
20,train,94.4455
20,dev,76.7085
