epoch,phase,acc
1,train,94.6233
1,dev,75.2190
2,train,95.8365
2,dev,78.3294
3,train,95.9955
3,dev,73.8026
4,train,96.7347
4,dev,77.7161
5,train,97.2836
5,dev,76.3289
6,train,97.4863
6,dev,75.1898
7,train,97.6079
7,dev,77.0152
8,train,97.6266
8,dev,77.1320
9,train,97.6329
9,dev,76.8984
10,train,97.6640
10,dev,76.8546
11,train,97.6734
11,dev,76.8984
12,train,97.6734
12,dev,76.8107
13,train,97.6796
13,dev,76.8984
14,train,97.6734
14,dev,76.7815
15,train,97.6765
15,dev,76.8254
16,train,97.6734
16,dev,76.7961
17,train,97.6765
17,dev,76.7815
18,train,97.6734
18,dev,76.7523
19,train,97.6796
19,dev,76.8254
20,train,97.6796
20,dev,76.7815
