epoch,phase,loss
1,train,0.0103
1,dev,0.5724
2,train,0.0078
2,dev,0.5393
3,train,0.0088
3,dev,0.6006
4,train,0.0086
4,dev,0.5416
5,train,0.0087
5,dev,0.5588
6,train,0.0093
6,dev,0.5716
7,train,0.0100
7,dev,0.5497
8,train,0.0114
8,dev,0.5479
9,train,0.0128
9,dev,0.5510
10,train,0.0145
10,dev,0.5518
11,train,0.0168
11,dev,0.5525
12,train,0.0196
12,dev,0.5544
13,train,0.0230
13,dev,0.5537
14,train,0.0277
14,dev,0.5549
15,train,0.0331
15,dev,0.5547
16,train,0.0395
16,dev,0.5550
17,train,0.0470
17,dev,0.5548
18,train,0.0554
18,dev,0.5552
19,train,0.0648
19,dev,0.5545
20,train,0.0751
20,dev,0.5551
