epoch,phase,acc
1,train,88.1870
1,dev,54.7500
2,train,90.5442
2,dev,51.2500
3,train,91.2042
3,dev,48.6250
4,train,91.9450
4,dev,53.0625
5,train,92.4165
5,dev,45.8125
6,train,92.7802
6,dev,51.5000
7,train,92.9688
7,dev,48.5625
8,train,93.1977
8,dev,50.7500
9,train,93.3998
9,dev,48.3125
10,train,93.6153
10,dev,46.3750
11,train,93.7365
11,dev,48.3125
12,train,93.8578
12,dev,46.3125
13,train,93.9925
13,dev,48.3750
14,train,94.1541
14,dev,47.1250
15,train,94.2349
15,dev,47.5000
16,train,94.3831
16,dev,46.4375
17,train,94.4774
17,dev,47.3750
18,train,94.5178
18,dev,46.1250
19,train,94.5986
19,dev,45.1875
20,train,94.7872
20,dev,47.0000
