epoch,phase,loss
1,train,0.0172
1,dev,0.7867
2,train,0.0177
2,dev,0.8180
3,train,0.0199
3,dev,0.8365
4,train,0.0227
4,dev,0.8068
5,train,0.0257
5,dev,0.8682
6,train,0.0289
6,dev,0.8349
7,train,0.0324
7,dev,0.8627
8,train,0.0364
8,dev,0.8506
9,train,0.0406
9,dev,0.8780
10,train,0.0448
10,dev,0.9019
11,train,0.0498
11,dev,0.8898
12,train,0.0546
12,dev,0.9250
13,train,0.0603
13,dev,0.9012
14,train,0.0664
14,dev,0.9236
15,train,0.0726
15,dev,0.9289
16,train,0.0795
16,dev,0.9479
17,train,0.0871
17,dev,0.9354
18,train,0.0956
18,dev,0.9658
19,train,0.1042
19,dev,0.9844
20,train,0.1134
20,dev,0.9624
