epoch,phase,acc
1,train,94.5312
1,dev,52.4375
2,train,96.5248
2,dev,53.5625
3,train,96.9962
3,dev,52.0625
4,train,97.3734
4,dev,51.1875
5,train,97.3464
5,dev,51.1875
6,train,97.3330
6,dev,49.9375
7,train,97.4003
7,dev,49.8750
8,train,97.3869
8,dev,49.8125
9,train,97.3599
9,dev,49.6875
10,train,97.3734
10,dev,49.6875
11,train,97.3869
11,dev,49.6875
12,train,97.3599
12,dev,49.6250
13,train,97.4138
13,dev,49.6250
14,train,97.3734
14,dev,49.5625
15,train,97.3734
15,dev,49.5625
16,train,97.3734
16,dev,49.5625
17,train,97.3734
17,dev,49.5625
18,train,97.3599
18,dev,49.5625
19,train,97.3599
19,dev,49.5625
20,train,97.3734
20,dev,49.5625
