epoch,phase,loss
1,train,0.0110
1,dev,0.8477
2,train,0.0087
2,dev,0.8381
3,train,0.0089
3,dev,0.8518
4,train,0.0093
4,dev,0.8599
5,train,0.0113
5,dev,0.8611
6,train,0.0135
6,dev,0.8720
7,train,0.0161
7,dev,0.8734
8,train,0.0194
8,dev,0.8757
9,train,0.0235
9,dev,0.8790
10,train,0.0281
10,dev,0.8794
11,train,0.0337
11,dev,0.8800
12,train,0.0402
12,dev,0.8807
13,train,0.0473
13,dev,0.8807
14,train,0.0559
14,dev,0.8808
15,train,0.0652
15,dev,0.8809
16,train,0.0754
16,dev,0.8809
17,train,0.0867
17,dev,0.8809
18,train,0.0990
18,dev,0.8809
19,train,0.1119
19,dev,0.8809
20,train,0.1260
20,dev,0.8809
