epoch,phase,acc
1,train,71.0264
1,dev,0.0000
2,train,72.0501
2,dev,29.0000
3,train,73.8685
3,dev,26.6250
4,train,74.6363
4,dev,5.8750
5,train,75.3233
5,dev,27.5625
6,train,76.8723
6,dev,28.2500
7,train,77.0878
7,dev,50.6875
8,train,77.9634
8,dev,25.6250
9,train,78.1789
9,dev,38.5625
10,train,77.5593
10,dev,6.0000
11,train,77.1956
11,dev,47.5000
12,train,79.6471
12,dev,38.8750
13,train,81.1692
13,dev,38.3125
14,train,81.7619
14,dev,43.0625
15,train,83.0280
15,dev,44.3125
16,train,84.0248
16,dev,37.5625
17,train,84.3481
17,dev,45.0000
18,train,84.9811
18,dev,47.3125
19,train,85.9644
19,dev,47.9375
20,train,86.6918
20,dev,47.7500
