epoch,phase,loss
1,train,0.0368
1,dev,0.9578
2,train,0.0422
2,dev,0.8490
3,train,0.0471
3,dev,0.9190
4,train,0.0545
4,dev,1.1012
5,train,0.0609
5,dev,0.9538
6,train,0.0673
6,dev,0.9537
7,train,0.0756
7,dev,0.8125
8,train,0.0831
8,dev,1.0274
9,train,0.0917
9,dev,0.9121
10,train,0.1053
10,dev,1.3288
11,train,0.1181
11,dev,0.8661
12,train,0.1187
12,dev,0.9701
13,train,0.1230
13,dev,0.9902
14,train,0.1303
14,dev,0.9575
15,train,0.1372
15,dev,0.9642
16,train,0.1446
16,dev,1.0445
17,train,0.1526
17,dev,0.9647
18,train,0.1627
18,dev,0.9446
19,train,0.1698
19,dev,0.9608
20,train,0.1763
20,dev,0.9688
