epoch,phase,acc
1,train,80.1589
1,dev,36.3125
2,train,82.0447
2,dev,37.5000
3,train,80.7920
3,dev,55.1250
4,train,84.1999
4,dev,44.5000
5,train,85.6412
5,dev,51.0000
6,train,86.7322
6,dev,47.4375
7,train,88.0657
7,dev,47.5625
8,train,88.2678
8,dev,47.1250
9,train,88.2543
9,dev,47.5625
10,train,88.5102
10,dev,47.5625
11,train,88.3082
11,dev,47.1875
12,train,88.3217
12,dev,47.0625
13,train,88.3217
13,dev,47.0625
14,train,88.2947
14,dev,47.0625
15,train,88.2947
15,dev,47.0000
16,train,88.3217
16,dev,47.0000
17,train,88.3217
17,dev,47.0000
18,train,88.2947
18,dev,47.0000
19,train,88.2812
19,dev,47.0000
20,train,88.3351
20,dev,47.0000
