epoch,phase,loss
1,train,0.0273
1,dev,0.8997
2,train,0.0289
2,dev,0.8851
3,train,0.0362
3,dev,0.7655
4,train,0.0361
4,dev,0.8560
5,train,0.0387
5,dev,0.8213
6,train,0.0423
6,dev,0.8589
7,train,0.0452
7,dev,0.8591
8,train,0.0514
8,dev,0.8688
9,train,0.0583
9,dev,0.8651
10,train,0.0657
10,dev,0.8662
11,train,0.0750
11,dev,0.8708
12,train,0.0847
12,dev,0.8742
13,train,0.0955
13,dev,0.8747
14,train,0.1075
14,dev,0.8755
15,train,0.1204
15,dev,0.8762
16,train,0.1342
16,dev,0.8763
17,train,0.1489
17,dev,0.8764
18,train,0.1646
18,dev,0.8765
19,train,0.1813
19,dev,0.8765
20,train,0.1988
20,dev,0.8765
