epoch,phase,acc
1,train,90.4634
1,dev,44.0625
2,train,93.6827
2,dev,47.0625
3,train,94.8545
3,dev,46.1875
4,train,95.3933
4,dev,47.8750
5,train,95.7570
5,dev,43.4375
6,train,96.1072
6,dev,45.4375
7,train,96.3497
7,dev,45.4375
8,train,96.6191
8,dev,45.6250
9,train,96.6730
9,dev,46.5625
10,train,96.8750
10,dev,45.5000
11,train,96.9558
11,dev,48.4375
12,train,97.1040
12,dev,46.1250
13,train,97.1848
13,dev,45.6875
14,train,97.3195
14,dev,48.3125
15,train,97.4677
15,dev,45.3125
16,train,97.3060
16,dev,46.1250
17,train,97.5081
17,dev,43.8750
18,train,97.6562
18,dev,45.6250
19,train,97.7371
19,dev,44.1250
20,train,97.7371
20,dev,44.1250
