epoch,phase,loss
1,train,0.0133
1,dev,0.8855
2,train,0.0120
2,dev,0.8653
3,train,0.0131
3,dev,0.8778
4,train,0.0146
4,dev,0.8700
5,train,0.0163
5,dev,0.9148
6,train,0.0184
6,dev,0.9099
7,train,0.0206
7,dev,0.9112
8,train,0.0230
8,dev,0.9218
9,train,0.0258
9,dev,0.9136
10,train,0.0288
10,dev,0.9349
11,train,0.0320
11,dev,0.9124
12,train,0.0352
12,dev,0.9505
13,train,0.0388
13,dev,0.9618
14,train,0.0424
14,dev,0.9402
15,train,0.0466
15,dev,0.9888
16,train,0.0511
16,dev,0.9711
17,train,0.0558
17,dev,1.0216
18,train,0.0602
18,dev,1.0064
19,train,0.0657
19,dev,1.0395
20,train,0.0705
20,dev,1.0575
