epoch,phase,acc
1,train,95.9052
1,dev,49.1250
2,train,97.9391
2,dev,49.0625
3,train,98.7742
3,dev,49.3125
4,train,99.1783
4,dev,49.5000
5,train,99.2053
5,dev,48.4375
6,train,99.2053
6,dev,48.4375
7,train,99.2053
7,dev,48.3750
8,train,99.2322
8,dev,48.1250
9,train,99.2322
9,dev,47.9375
10,train,99.2322
10,dev,47.8750
11,train,99.2592
11,dev,47.8125
12,train,99.2322
12,dev,47.8125
13,train,99.2322
13,dev,47.8125
14,train,99.2457
14,dev,47.7500
15,train,99.2322
15,dev,47.7500
16,train,99.2322
16,dev,47.7500
17,train,99.2322
17,dev,47.7500
18,train,99.2322
18,dev,47.7500
19,train,99.2322
19,dev,47.7500
20,train,99.2457
20,dev,47.7500
