epoch,phase,loss
1,train,0.0068
1,dev,0.9363
2,train,0.0043
2,dev,0.9297
3,train,0.0037
3,dev,0.9251
4,train,0.0035
4,dev,0.9246
5,train,0.0044
5,dev,0.9342
6,train,0.0055
6,dev,0.9347
7,train,0.0068
7,dev,0.9364
8,train,0.0087
8,dev,0.9386
9,train,0.0111
9,dev,0.9418
10,train,0.0139
10,dev,0.9422
11,train,0.0172
11,dev,0.9428
12,train,0.0215
12,dev,0.9435
13,train,0.0264
13,dev,0.9436
14,train,0.0321
14,dev,0.9436
15,train,0.0387
15,dev,0.9437
16,train,0.0464
16,dev,0.9437
17,train,0.0547
17,dev,0.9437
18,train,0.0642
18,dev,0.9437
19,train,0.0747
19,dev,0.9437
20,train,0.0859
20,dev,0.9437
