epoch,phase,acc
1,train,71.0938
1,dev,16.4375
2,train,73.0065
2,dev,16.1875
3,train,74.8114
3,dev,29.3125
4,train,75.4176
4,dev,26.3750
5,train,76.4413
5,dev,40.4375
6,train,76.7376
6,dev,38.0000
7,train,77.1148
7,dev,34.1250
8,train,77.1686
8,dev,27.1875
9,train,76.7915
9,dev,48.7500
10,train,76.8454
10,dev,25.6875
11,train,79.4450
11,dev,34.6250
12,train,81.3308
12,dev,34.4375
13,train,82.2872
13,dev,32.1250
14,train,83.8631
14,dev,43.6250
15,train,84.8330
15,dev,37.5000
16,train,85.7085
16,dev,39.5000
17,train,86.8804
17,dev,40.4375
18,train,87.9580
18,dev,39.3125
19,train,88.4025
19,dev,38.9375
20,train,88.6180
20,dev,44.5625
