epoch,phase,loss
1,train,0.0358
1,dev,0.9014
2,train,0.0405
2,dev,0.8802
3,train,0.0451
3,dev,0.9018
4,train,0.0523
4,dev,0.9531
5,train,0.0586
5,dev,0.8591
6,train,0.0673
6,dev,0.8765
7,train,0.0758
7,dev,0.9211
8,train,0.0857
8,dev,1.0099
9,train,0.0966
9,dev,0.8249
10,train,0.1085
10,dev,1.0376
11,train,0.1099
11,dev,0.9768
12,train,0.1138
12,dev,1.0080
13,train,0.1188
13,dev,1.0590
14,train,0.1239
14,dev,0.9470
15,train,0.1295
15,dev,1.0402
16,train,0.1343
16,dev,1.0227
17,train,0.1388
17,dev,1.0382
18,train,0.1435
18,dev,1.0782
19,train,0.1489
19,dev,1.0968
20,train,0.1571
20,dev,1.0117
