epoch,phase,acc
1,train,80.4014
1,dev,51.5625
2,train,80.9941
2,dev,45.2500
3,train,81.8831
3,dev,34.7500
4,train,85.6681
4,dev,42.2500
5,train,87.8367
5,dev,40.0625
6,train,89.4531
6,dev,42.6250
7,train,91.0695
7,dev,45.3125
8,train,91.2850
8,dev,43.9375
9,train,91.4467
9,dev,44.3750
10,train,91.6756
10,dev,44.1875
11,train,91.6352
11,dev,43.4375
12,train,91.5140
12,dev,43.1250
13,train,91.4871
13,dev,43.1250
14,train,91.4871
14,dev,43.1250
15,train,91.4736
15,dev,43.1250
16,train,91.5275
16,dev,43.0625
17,train,91.5275
17,dev,43.0625
18,train,91.5140
18,dev,43.0000
19,train,91.5814
19,dev,43.0000
20,train,91.5544
20,dev,43.0000
