epoch,phase,loss
1,train,0.0288
1,dev,0.7922
2,train,0.0299
2,dev,0.8309
3,train,0.0340
3,dev,0.9294
4,train,0.0328
4,dev,0.8746
5,train,0.0338
5,dev,0.9166
6,train,0.0354
6,dev,0.9147
7,train,0.0363
7,dev,0.8862
8,train,0.0416
8,dev,0.9028
9,train,0.0475
9,dev,0.9034
10,train,0.0539
10,dev,0.9080
11,train,0.0622
11,dev,0.9151
12,train,0.0713
12,dev,0.9212
13,train,0.0815
13,dev,0.9219
14,train,0.0927
14,dev,0.9232
15,train,0.1049
15,dev,0.9243
16,train,0.1179
16,dev,0.9244
17,train,0.1321
17,dev,0.9246
18,train,0.1472
18,dev,0.9247
19,train,0.1628
19,dev,0.9247
20,train,0.1800
20,dev,0.9247
