epoch,phase,acc
1,train,95.8109
1,dev,50.1875
2,train,97.2117
2,dev,47.3750
3,train,97.6293
3,dev,48.3125
4,train,97.8179
4,dev,50.3750
5,train,97.8987
5,dev,51.1250
6,train,98.1277
6,dev,47.9375
7,train,98.2085
7,dev,50.0625
8,train,98.3297
8,dev,47.6250
9,train,98.3971
9,dev,49.1875
10,train,98.5048
10,dev,48.5000
11,train,98.6126
11,dev,49.6875
12,train,98.6530
12,dev,49.4375
13,train,98.7338
13,dev,47.8750
14,train,98.7742
14,dev,49.1250
15,train,98.8820
15,dev,49.0625
16,train,98.8685
16,dev,49.1875
17,train,98.9494
17,dev,49.3750
18,train,99.0032
18,dev,46.8750
19,train,98.9898
19,dev,49.1875
20,train,99.1245
20,dev,49.4375
