epoch,phase,loss
1,train,0.0071
1,dev,0.8171
2,train,0.0061
2,dev,0.8459
3,train,0.0065
3,dev,0.8472
4,train,0.0072
4,dev,0.8372
5,train,0.0080
5,dev,0.8385
6,train,0.0088
6,dev,0.8820
7,train,0.0100
7,dev,0.8684
8,train,0.0110
8,dev,0.9072
9,train,0.0123
9,dev,0.8960
10,train,0.0138
10,dev,0.9174
11,train,0.0156
11,dev,0.9006
12,train,0.0177
12,dev,0.9182
13,train,0.0199
13,dev,0.9511
14,train,0.0229
14,dev,0.9381
15,train,0.0260
15,dev,0.9470
16,train,0.0301
16,dev,0.9524
17,train,0.0346
17,dev,0.9569
18,train,0.0396
18,dev,0.9968
19,train,0.0455
19,dev,0.9697
20,train,0.0519
20,dev,0.9750
