epoch,phase,acc
1,train,99.0975
1,dev,55.1875
2,train,99.4612
2,dev,48.5000
3,train,99.6228
3,dev,51.2500
4,train,99.6902
4,dev,51.5625
5,train,99.6902
5,dev,51.1250
6,train,99.6902
6,dev,50.7500
7,train,99.6902
7,dev,50.6250
8,train,99.6902
8,dev,50.3125
9,train,99.6902
9,dev,50.1250
10,train,99.6902
10,dev,50.1250
11,train,99.6902
11,dev,50.0625
12,train,99.6902
12,dev,50.0000
13,train,99.6902
13,dev,50.0000
14,train,99.6902
14,dev,50.0000
15,train,99.6902
15,dev,50.0000
16,train,99.6902
16,dev,50.0000
17,train,99.6902
17,dev,50.0000
18,train,99.6902
18,dev,50.0000
19,train,99.6902
19,dev,50.0000
20,train,99.6902
20,dev,50.0000
