epoch,phase,loss
1,train,0.0025
1,dev,0.8579
2,train,0.0016
2,dev,0.9446
3,train,0.0012
3,dev,0.9005
4,train,0.0010
4,dev,0.8922
5,train,0.0012
5,dev,0.9009
6,train,0.0016
6,dev,0.9060
7,train,0.0020
7,dev,0.9071
8,train,0.0028
8,dev,0.9095
9,train,0.0038
9,dev,0.9128
10,train,0.0052
10,dev,0.9132
11,train,0.0072
11,dev,0.9138
12,train,0.0099
12,dev,0.9145
13,train,0.0133
13,dev,0.9145
14,train,0.0177
14,dev,0.9146
15,train,0.0230
15,dev,0.9146
16,train,0.0293
16,dev,0.9146
17,train,0.0365
17,dev,0.9146
18,train,0.0447
18,dev,0.9146
19,train,0.0538
19,dev,0.9146
20,train,0.0639
20,dev,0.9146
