epoch,phase,acc
1,train,71.9962
1,dev,12.8125
2,train,73.9359
2,dev,30.0000
3,train,76.3200
3,dev,15.3125
4,train,77.4650
4,dev,14.6875
5,train,77.8017
5,dev,33.6250
6,train,78.3944
6,dev,19.1250
7,train,79.6336
7,dev,55.1250
8,train,79.4585
8,dev,42.8125
9,train,80.0108
9,dev,40.3125
10,train,79.9030
10,dev,40.5625
11,train,80.0512
11,dev,38.6875
12,train,79.9973
12,dev,48.2500
13,train,81.1422
13,dev,43.4375
14,train,81.1827
14,dev,38.7500
15,train,81.1692
15,dev,36.5625
16,train,81.7484
16,dev,43.1875
17,train,83.2570
17,dev,47.0625
18,train,83.4456
18,dev,34.8750
19,train,83.3917
19,dev,56.0625
20,train,84.7791
20,dev,57.8750
