epoch,phase,loss
1,train,0.0351
1,dev,0.9372
2,train,0.0398
2,dev,0.8858
3,train,0.0430
3,dev,1.0336
4,train,0.0485
4,dev,1.0496
5,train,0.0561
5,dev,0.9252
6,train,0.0625
6,dev,1.0264
7,train,0.0694
7,dev,0.7736
8,train,0.0785
8,dev,0.8989
9,train,0.0859
9,dev,0.9311
10,train,0.0964
10,dev,0.9224
11,train,0.1059
11,dev,0.9724
12,train,0.1185
12,dev,0.8542
13,train,0.1236
13,dev,0.9532
14,train,0.1349
14,dev,1.0196
15,train,0.1480
15,dev,1.0408
16,train,0.1570
16,dev,1.0017
17,train,0.1596
17,dev,0.9537
18,train,0.1728
18,dev,1.1743
19,train,0.1856
19,dev,0.8472
20,train,0.1875
20,dev,0.8332
