epoch,phase,acc
1,train,85.5469
1,dev,39.0000
2,train,89.3588
2,dev,45.1875
3,train,90.2344
3,dev,42.4375
4,train,91.3793
4,dev,44.4375
5,train,93.5075
5,dev,46.5625
6,train,94.6929
6,dev,45.3750
7,train,95.6088
7,dev,48.1875
8,train,95.7435
8,dev,47.5625
9,train,95.6897
9,dev,47.8125
10,train,95.7031
10,dev,47.6875
11,train,95.7031
11,dev,47.2500
12,train,95.6897
12,dev,47.1250
13,train,95.6627
13,dev,47.1250
14,train,95.6223
14,dev,47.1250
15,train,95.6223
15,dev,47.1250
16,train,95.6492
16,dev,47.1250
17,train,95.6627
17,dev,47.0625
18,train,95.6223
18,dev,47.0625
19,train,95.6492
19,dev,47.0625
20,train,95.6223
20,dev,47.0625
