epoch,phase,loss
1,train,0.0247
1,dev,0.8764
2,train,0.0195
2,dev,0.8516
3,train,0.0216
3,dev,0.8724
4,train,0.0220
4,dev,0.8674
5,train,0.0205
5,dev,0.8662
6,train,0.0203
6,dev,0.8973
7,train,0.0205
7,dev,0.8690
8,train,0.0236
8,dev,0.8805
9,train,0.0273
9,dev,0.8859
10,train,0.0314
10,dev,0.8885
11,train,0.0371
11,dev,0.8939
12,train,0.0435
12,dev,0.9002
13,train,0.0508
13,dev,0.9007
14,train,0.0594
14,dev,0.9014
15,train,0.0689
15,dev,0.9024
16,train,0.0791
16,dev,0.9025
17,train,0.0905
17,dev,0.9026
18,train,0.1030
18,dev,0.9027
19,train,0.1161
19,dev,0.9027
20,train,0.1306
20,dev,0.9027
