epoch,phase,loss
1,train,0.0193
1,dev,0.6980
2,train,0.0179
2,dev,0.6304
3,train,0.0192
3,dev,0.7126
4,train,0.0216
4,dev,0.6259
5,train,0.0241
5,dev,0.6790
6,train,0.0271
6,dev,0.5163
7,train,0.0291
7,dev,0.5291
8,train,0.0322
8,dev,0.5102
9,train,0.0360
9,dev,0.5666
10,train,0.0386
10,dev,0.5247
11,train,0.0396
11,dev,0.5539
12,train,0.0428
12,dev,0.5356
13,train,0.0447
13,dev,0.5577
14,train,0.0490
14,dev,0.5430
15,train,0.0504
15,dev,0.4917
16,train,0.0552
16,dev,0.5599
17,train,0.0575
17,dev,0.5705
18,train,0.0618
18,dev,0.5833
19,train,0.0680
19,dev,0.5437
20,train,0.0735
20,dev,0.5320
