epoch,phase,acc
1,train,82.3280
1,dev,32.9861
2,train,87.1003
2,dev,33.2755
3,train,88.5417
3,dev,33.5069
4,train,89.7771
4,dev,34.4907
5,train,89.8135
5,dev,33.6806
6,train,89.8983
6,dev,34.0856
7,train,89.8619
7,dev,33.9699
8,train,89.8256
8,dev,33.8542
9,train,89.8983
9,dev,33.9699
10,train,89.8498
10,dev,33.7384
11,train,89.8740
11,dev,33.7384
12,train,89.8498
12,dev,33.7384
13,train,89.8619
13,dev,33.7384
14,train,89.8619
14,dev,33.8542
15,train,89.8498
15,dev,33.6227
16,train,89.8740
16,dev,33.6806
17,train,89.8619
17,dev,33.4491
18,train,89.8861
18,dev,33.6806
19,train,89.8740
19,dev,33.2176
20,train,89.8983
20,dev,33.8542
