epoch,phase,loss
1,train,0.1735
1,dev,3.1446
2,train,0.2011
2,dev,3.0683
3,train,0.2292
3,dev,3.0151
4,train,0.2562
4,dev,2.8750
5,train,0.2843
5,dev,2.8270
6,train,0.3187
6,dev,2.7504
7,train,0.3582
7,dev,2.7881
8,train,0.3898
8,dev,2.7354
9,train,0.4322
9,dev,2.7030
10,train,0.4723
10,dev,2.6871
11,train,0.5279
11,dev,2.6456
12,train,0.5722
12,dev,2.6141
13,train,0.6244
13,dev,2.6194
14,train,0.6803
14,dev,2.6370
15,train,0.7368
15,dev,2.6079
16,train,0.7694
16,dev,2.6104
17,train,0.8340
17,dev,2.5934
18,train,0.8725
18,dev,2.5766
19,train,0.9282
19,dev,2.5865
20,train,0.9670
20,dev,2.6269
