epoch,phase,acc
1,train,72.0082
1,dev,34.8958
2,train,77.3135
2,dev,34.2593
3,train,78.7427
3,dev,34.7222
4,train,79.3726
4,dev,34.3171
5,train,79.9419
5,dev,33.4491
6,train,80.2810
6,dev,33.7384
7,train,80.6080
7,dev,34.8380
8,train,80.7776
8,dev,33.9120
9,train,81.3832
9,dev,34.0278
10,train,81.2863
10,dev,33.9120
11,train,81.3711
11,dev,34.4907
12,train,82.3159
12,dev,34.6065
13,train,82.3643
13,dev,34.4907
14,train,82.3522
14,dev,34.5486
15,train,82.1100
15,dev,34.6644
16,train,82.1584
16,dev,34.8380
17,train,82.0858
17,dev,34.8380
18,train,82.0252
18,dev,34.6644
19,train,82.0615
19,dev,34.4329
20,train,82.0131
20,dev,34.7222
