epoch,phase,acc
1,train,81.4317
1,dev,32.9282
2,train,86.4826
2,dev,33.3912
3,train,87.6938
3,dev,32.9861
4,train,88.9535
4,dev,33.2176
5,train,89.0867
5,dev,33.1019
6,train,88.9535
6,dev,33.3912
7,train,89.1473
7,dev,33.2755
8,train,89.0988
8,dev,33.2755
9,train,89.0141
9,dev,33.1597
10,train,88.9656
10,dev,33.5069
11,train,89.0019
11,dev,33.2176
12,train,88.9777
12,dev,33.0440
13,train,88.9656
13,dev,33.2755
14,train,89.0383
14,dev,32.8125
15,train,88.9777
15,dev,33.2176
16,train,88.9777
16,dev,33.1019
17,train,89.0141
17,dev,33.3333
18,train,89.0383
18,dev,33.3912
19,train,88.9898
19,dev,33.1597
20,train,89.0262
20,dev,33.2755
