epoch,phase,loss
1,train,0.0328
1,dev,2.7946
2,train,0.0330
2,dev,2.7867
3,train,0.0388
3,dev,2.8045
4,train,0.0449
4,dev,2.8019
5,train,0.0554
5,dev,2.8023
6,train,0.0683
6,dev,2.8008
7,train,0.0831
7,dev,2.8062
8,train,0.1007
8,dev,2.8016
9,train,0.1210
9,dev,2.8044
10,train,0.1443
10,dev,2.7950
11,train,0.1708
11,dev,2.7993
12,train,0.2010
12,dev,2.8010
13,train,0.2349
13,dev,2.7993
14,train,0.2723
14,dev,2.8069
15,train,0.3137
15,dev,2.8085
16,train,0.3589
16,dev,2.8007
17,train,0.4079
17,dev,2.7965
18,train,0.4608
18,dev,2.8013
19,train,0.5175
19,dev,2.7995
20,train,0.5781
20,dev,2.8022
