epoch,phase,loss
1,train,0.1726
1,dev,3.1376
2,train,0.1975
2,dev,3.0255
3,train,0.2237
3,dev,2.9792
4,train,0.2491
4,dev,2.8891
5,train,0.2845
5,dev,2.8388
6,train,0.3226
6,dev,2.8796
7,train,0.3605
7,dev,2.8648
8,train,0.4066
8,dev,2.8001
9,train,0.4547
9,dev,2.7422
10,train,0.5010
10,dev,2.7746
11,train,0.5614
11,dev,2.7597
12,train,0.6062
12,dev,2.7355
13,train,0.6526
13,dev,2.7247
14,train,0.7050
14,dev,2.7066
15,train,0.7498
15,dev,2.6006
16,train,0.8068
16,dev,2.6289
17,train,0.8487
17,dev,2.6183
18,train,0.9143
18,dev,2.6254
19,train,0.9828
19,dev,2.6410
20,train,1.0204
20,dev,2.6476
