epoch,phase,acc
1,train,46.3178
1,dev,36.8634
2,train,52.3135
2,dev,36.4005
3,train,54.9661
3,dev,34.2014
4,train,63.3115
4,dev,35.9375
5,train,67.2238
5,dev,36.3426
6,train,69.8038
6,dev,35.8796
7,train,72.8803
7,dev,35.8218
8,train,72.2141
8,dev,35.9375
9,train,72.2626
9,dev,36.2847
10,train,72.4806
10,dev,35.9954
11,train,72.3716
11,dev,36.2847
12,train,72.3232
12,dev,35.4167
13,train,72.3353
13,dev,35.9954
14,train,72.3232
14,dev,35.8218
15,train,72.3474
15,dev,35.6481
16,train,72.2989
16,dev,35.6481
17,train,72.3232
17,dev,35.4167
18,train,72.3837
18,dev,35.6481
19,train,72.3232
19,dev,35.9375
20,train,72.2626
20,dev,35.7060
