epoch,phase,loss
1,train,0.0502
1,dev,2.7252
2,train,0.0527
2,dev,2.7242
3,train,0.0610
3,dev,2.7217
4,train,0.0711
4,dev,2.7282
5,train,0.0829
5,dev,2.7215
6,train,0.0962
6,dev,2.7133
7,train,0.1107
7,dev,2.7092
8,train,0.1271
8,dev,2.7081
9,train,0.1453
9,dev,2.7016
10,train,0.1651
10,dev,2.6992
11,train,0.1874
11,dev,2.7062
12,train,0.2117
12,dev,2.7005
13,train,0.2386
13,dev,2.6985
14,train,0.2678
14,dev,2.6865
15,train,0.3007
15,dev,2.6879
16,train,0.3352
16,dev,2.6985
17,train,0.3738
17,dev,2.6906
18,train,0.4152
18,dev,2.6916
19,train,0.4598
19,dev,2.6877
20,train,0.5069
20,dev,2.6788
