epoch,phase,loss
1,train,0.0296
1,dev,2.7272
2,train,0.0286
2,dev,2.7444
3,train,0.0330
3,dev,2.7600
4,train,0.0374
4,dev,2.7460
5,train,0.0462
5,dev,2.7504
6,train,0.0564
6,dev,2.7516
7,train,0.0681
7,dev,2.7473
8,train,0.0825
8,dev,2.7434
9,train,0.0992
9,dev,2.7449
10,train,0.1184
10,dev,2.7553
11,train,0.1409
11,dev,2.7490
12,train,0.1665
12,dev,2.7483
13,train,0.1958
13,dev,2.7446
14,train,0.2286
14,dev,2.7433
15,train,0.2652
15,dev,2.7491
16,train,0.3057
16,dev,2.7376
17,train,0.3502
17,dev,2.7519
18,train,0.3987
18,dev,2.7494
19,train,0.4506
19,dev,2.7431
20,train,0.5060
20,dev,2.7480
