epoch,phase,acc
1,train,49.2975
1,dev,38.4838
2,train,53.2219
2,dev,36.0532
3,train,55.0993
3,dev,37.8472
4,train,61.3009
4,dev,36.9792
5,train,65.8551
5,dev,36.7477
6,train,68.1444
6,dev,37.1528
7,train,70.4094
7,dev,37.0949
8,train,70.9908
8,dev,37.5579
9,train,70.7001
9,dev,37.8472
10,train,70.9423
10,dev,37.3843
11,train,70.9181
11,dev,37.8472
12,train,70.8333
12,dev,38.3102
13,train,70.7485
13,dev,37.7315
14,train,70.7728
14,dev,37.6736
15,train,70.7364
15,dev,38.0208
16,train,70.7364
16,dev,38.0787
17,train,70.7607
17,dev,38.0208
18,train,70.7849
18,dev,38.3102
19,train,70.7849
19,dev,37.5579
20,train,70.7849
20,dev,37.5579
