epoch,phase,acc
1,train,95.3367
1,dev,70.4861
2,train,96.8023
2,dev,70.1968
3,train,97.1778
3,dev,70.1968
4,train,97.3837
4,dev,71.0069
5,train,97.6017
5,dev,70.5440
6,train,97.7713
6,dev,70.7176
7,train,97.7229
7,dev,70.5440
8,train,97.9167
8,dev,70.0810
9,train,97.9772
9,dev,69.9074
10,train,98.0136
10,dev,69.6181
11,train,98.1105
11,dev,70.1389
12,train,98.1105
12,dev,69.9653
13,train,98.1831
13,dev,69.5602
14,train,98.3285
14,dev,69.5602
15,train,98.3406
15,dev,70.1968
16,train,98.4375
16,dev,70.3125
17,train,98.4375
17,dev,69.6181
18,train,98.4859
18,dev,69.7338
19,train,98.5102
19,dev,70.1968
20,train,98.5828
20,dev,70.0810
