epoch,phase,loss
1,train,0.0081
1,dev,0.6654
2,train,0.0073
2,dev,0.6633
3,train,0.0079
3,dev,0.6611
4,train,0.0087
4,dev,0.6517
5,train,0.0098
5,dev,0.6543
6,train,0.0109
6,dev,0.6528
7,train,0.0122
7,dev,0.6454
8,train,0.0135
8,dev,0.6436
9,train,0.0151
9,dev,0.6466
10,train,0.0170
10,dev,0.6447
11,train,0.0191
11,dev,0.6437
12,train,0.0218
12,dev,0.6438
13,train,0.0249
13,dev,0.6445
14,train,0.0284
14,dev,0.6444
15,train,0.0329
15,dev,0.6420
16,train,0.0375
16,dev,0.6375
17,train,0.0426
17,dev,0.6437
18,train,0.0486
18,dev,0.6436
19,train,0.0552
19,dev,0.6418
20,train,0.0623
20,dev,0.6390
