epoch,phase,loss
1,train,0.0036
1,dev,0.6553
2,train,0.0026
2,dev,0.6539
3,train,0.0024
3,dev,0.6544
4,train,0.0023
4,dev,0.6566
5,train,0.0027
5,dev,0.6552
6,train,0.0032
6,dev,0.6484
7,train,0.0039
7,dev,0.6517
8,train,0.0049
8,dev,0.6548
9,train,0.0063
9,dev,0.6569
10,train,0.0081
10,dev,0.6516
11,train,0.0105
11,dev,0.6537
12,train,0.0137
12,dev,0.6538
13,train,0.0176
13,dev,0.6546
14,train,0.0225
14,dev,0.6533
15,train,0.0284
15,dev,0.6566
16,train,0.0352
16,dev,0.6532
17,train,0.0430
17,dev,0.6520
18,train,0.0517
18,dev,0.6521
19,train,0.0613
19,dev,0.6536
20,train,0.0721
20,dev,0.6530
