epoch,phase,acc
1,train,51.1749
1,dev,52.0255
2,train,59.7020
2,dev,56.7708
3,train,67.3450
3,dev,67.6505
4,train,69.3314
4,dev,71.6435
5,train,71.6449
5,dev,67.0718
6,train,72.4201
6,dev,70.1968
7,train,72.5775
7,dev,68.3449
8,train,73.6313
8,dev,70.8912
9,train,74.3217
9,dev,72.4537
10,train,74.9394
10,dev,70.4861
11,train,75.2665
11,dev,71.7014
12,train,75.9811
12,dev,71.8750
13,train,76.1749
13,dev,66.2616
14,train,76.8047
14,dev,72.3380
15,train,78.1371
15,dev,71.5278
16,train,78.7306
16,dev,67.9977
17,train,78.7912
17,dev,70.1968
18,train,80.0630
18,dev,71.8750
19,train,80.9472
19,dev,69.0972
20,train,80.4142
20,dev,71.0648
