epoch,phase,acc
1,train,82.9457
1,dev,71.8750
2,train,85.9981
2,dev,71.6435
3,train,87.2335
3,dev,68.6343
4,train,90.7582
4,dev,71.4120
5,train,93.1565
5,dev,70.6019
6,train,94.3072
6,dev,70.6019
7,train,95.4700
7,dev,71.0648
8,train,95.5547
8,dev,71.2963
9,train,95.5547
9,dev,71.3542
10,train,95.6880
10,dev,71.4699
11,train,95.6759
11,dev,71.4120
12,train,95.6638
12,dev,71.4699
13,train,95.6759
13,dev,71.3542
14,train,95.6759
14,dev,71.4120
15,train,95.6638
15,dev,71.5278
16,train,95.6759
16,dev,71.5856
17,train,95.6880
17,dev,71.5278
18,train,95.6759
18,dev,71.8171
19,train,95.6759
19,dev,72.1065
20,train,95.7001
20,dev,71.3542
