epoch,phase,loss
1,train,0.0257
1,dev,0.6721
2,train,0.0247
2,dev,0.6675
3,train,0.0269
3,dev,0.6910
4,train,0.0235
4,dev,0.6564
5,train,0.0217
5,dev,0.6529
6,train,0.0217
6,dev,0.6490
7,train,0.0217
7,dev,0.6463
8,train,0.0249
8,dev,0.6429
9,train,0.0287
9,dev,0.6416
10,train,0.0330
10,dev,0.6380
11,train,0.0386
11,dev,0.6422
12,train,0.0452
12,dev,0.6425
13,train,0.0526
13,dev,0.6421
14,train,0.0611
14,dev,0.6412
15,train,0.0705
15,dev,0.6419
16,train,0.0810
16,dev,0.6411
17,train,0.0923
17,dev,0.6441
18,train,0.1047
18,dev,0.6404
19,train,0.1180
19,dev,0.6360
20,train,0.1322
20,dev,0.6415
