epoch,phase,loss
1,train,0.0094
1,dev,0.6911
2,train,0.0079
2,dev,0.6848
3,train,0.0085
3,dev,0.6830
4,train,0.0093
4,dev,0.6803
5,train,0.0105
5,dev,0.6805
6,train,0.0119
6,dev,0.6805
7,train,0.0133
7,dev,0.6802
8,train,0.0149
8,dev,0.6815
9,train,0.0167
9,dev,0.6803
10,train,0.0187
10,dev,0.6786
11,train,0.0209
11,dev,0.6816
12,train,0.0234
12,dev,0.6806
13,train,0.0262
13,dev,0.6746
14,train,0.0291
14,dev,0.6780
15,train,0.0324
15,dev,0.6853
16,train,0.0354
16,dev,0.6821
17,train,0.0385
17,dev,0.6894
18,train,0.0416
18,dev,0.6834
19,train,0.0446
19,dev,0.6886
20,train,0.0477
20,dev,0.6940
