epoch,phase,acc
1,train,56.4922
1,dev,60.6481
2,train,63.2389
2,dev,62.7894
3,train,67.3207
3,dev,69.6181
4,train,67.9142
4,dev,69.5602
5,train,70.3246
5,dev,70.2546
6,train,70.0945
6,dev,69.4444
7,train,70.7122
7,dev,69.0394
8,train,71.4753
8,dev,71.5278
9,train,72.3716
9,dev,68.1134
10,train,72.2626
10,dev,69.0394
11,train,72.8319
11,dev,63.9468
12,train,71.1361
12,dev,71.8750
13,train,74.1764
13,dev,67.2454
14,train,74.3459
14,dev,70.3704
15,train,75.6298
15,dev,69.9074
16,train,76.4656
16,dev,68.3449
17,train,75.9084
17,dev,68.8657
18,train,77.2650
18,dev,70.8333
19,train,76.7684
19,dev,71.4699
20,train,77.3740
20,dev,70.4282
