epoch,phase,loss
1,train,0.0272
1,dev,0.7042
2,train,0.0256
2,dev,0.6881
3,train,0.0297
3,dev,0.6905
4,train,0.0277
4,dev,0.6768
5,train,0.0268
5,dev,0.6742
6,train,0.0270
6,dev,0.6739
7,train,0.0267
7,dev,0.6718
8,train,0.0309
8,dev,0.6687
9,train,0.0356
9,dev,0.6693
10,train,0.0409
10,dev,0.6694
11,train,0.0481
11,dev,0.6687
12,train,0.0558
12,dev,0.6679
13,train,0.0645
13,dev,0.6717
14,train,0.0743
14,dev,0.6703
15,train,0.0852
15,dev,0.6692
16,train,0.0970
16,dev,0.6687
17,train,0.1096
17,dev,0.6685
18,train,0.1232
18,dev,0.6692
19,train,0.1382
19,dev,0.6718
20,train,0.1536
20,dev,0.6655
