epoch,phase,acc
1,train,95.1187
1,dev,70.8333
2,train,97.0688
2,dev,71.0648
3,train,97.4806
3,dev,70.4861
4,train,97.8561
4,dev,70.6019
5,train,97.9651
5,dev,70.4282
6,train,98.0862
6,dev,70.6597
7,train,98.3164
7,dev,70.3704
8,train,98.3285
8,dev,70.7755
9,train,98.4375
9,dev,71.0648
10,train,98.6071
10,dev,70.8333
11,train,98.6434
11,dev,70.9491
12,train,98.7040
12,dev,71.1806
13,train,98.7282
13,dev,71.0648
14,train,98.7645
14,dev,70.8333
15,train,98.8493
15,dev,71.0069
16,train,98.9341
16,dev,71.2963
17,train,98.9099
17,dev,71.1227
18,train,98.9099
18,dev,70.9491
19,train,99.0189
19,dev,71.1227
20,train,99.0189
20,dev,70.9491
