epoch,phase,acc
1,train,98.8130
1,dev,70.3704
2,train,99.4549
2,dev,69.3866
3,train,99.4792
3,dev,70.0231
4,train,99.6003
4,dev,70.3125
5,train,99.5882
5,dev,69.8495
6,train,99.5882
6,dev,70.0231
7,train,99.5882
7,dev,69.9074
8,train,99.5882
8,dev,70.1968
9,train,99.5882
9,dev,70.0231
10,train,99.5882
10,dev,70.1968
11,train,99.5882
11,dev,70.1968
12,train,99.5882
12,dev,69.9653
13,train,99.5882
13,dev,70.3704
14,train,99.5882
14,dev,69.9074
15,train,99.5882
15,dev,70.1389
16,train,99.5882
16,dev,70.0810
17,train,99.5882
17,dev,70.0810
18,train,99.5882
18,dev,70.1389
19,train,99.5882
19,dev,70.0810
20,train,99.5882
20,dev,69.9074
