epoch,phase,acc
1,train,57.2553
1,dev,68.0556
2,train,66.3639
2,dev,70.0810
3,train,70.1308
3,dev,67.9398
4,train,70.8576
4,dev,68.8657
5,train,72.0809
5,dev,71.2384
6,train,71.8629
6,dev,70.6019
7,train,73.2195
7,dev,70.8333
8,train,72.6865
8,dev,70.3125
9,train,73.4496
9,dev,73.1481
10,train,73.8130
10,dev,71.2963
11,train,73.2922
11,dev,72.9745
12,train,73.9826
12,dev,68.1134
13,train,74.7335
13,dev,74.4792
14,train,75.6056
14,dev,73.3218
15,train,75.9811
15,dev,71.5856
16,train,77.1560
16,dev,73.0324
17,train,77.3619
17,dev,72.9745
18,train,76.7805
18,dev,72.1065
19,train,78.1856
19,dev,73.3796
20,train,80.2810
20,dev,70.5440
