epoch,phase,loss
1,train,0.0427
1,dev,0.7585
2,train,0.0460
2,dev,0.7180
3,train,0.0508
3,dev,0.7223
4,train,0.0582
4,dev,0.7146
5,train,0.0661
5,dev,0.7098
6,train,0.0758
6,dev,0.6822
7,train,0.0846
7,dev,0.6719
8,train,0.0964
8,dev,0.6732
9,train,0.1056
9,dev,0.6653
10,train,0.1184
10,dev,0.6660
11,train,0.1315
11,dev,0.6462
12,train,0.1433
12,dev,0.6780
13,train,0.1553
13,dev,0.6185
14,train,0.1635
14,dev,0.6260
15,train,0.1782
15,dev,0.6170
16,train,0.1865
16,dev,0.6140
17,train,0.1992
17,dev,0.6265
18,train,0.2192
18,dev,0.6155
19,train,0.2274
19,dev,0.6115
20,train,0.2283
20,dev,0.6239
