epoch,phase,loss
1,train,0.0286
1,dev,0.6955
2,train,0.0263
2,dev,0.6642
3,train,0.0288
3,dev,0.6662
4,train,0.0255
4,dev,0.6540
5,train,0.0240
5,dev,0.6428
6,train,0.0234
6,dev,0.6485
7,train,0.0232
7,dev,0.6409
8,train,0.0268
8,dev,0.6396
9,train,0.0309
9,dev,0.6401
10,train,0.0356
10,dev,0.6387
11,train,0.0419
11,dev,0.6418
12,train,0.0491
12,dev,0.6380
13,train,0.0573
13,dev,0.6369
14,train,0.0664
14,dev,0.6376
15,train,0.0766
15,dev,0.6381
16,train,0.0875
16,dev,0.6377
17,train,0.0997
17,dev,0.6395
18,train,0.1128
18,dev,0.6396
19,train,0.1267
19,dev,0.6398
20,train,0.1416
20,dev,0.6401
