epoch,phase,acc
1,train,97.9071
1,dev,73.7772
2,train,98.6525
2,dev,73.2337
3,train,98.8102
3,dev,74.9321
4,train,98.9249
4,dev,74.3207
5,train,99.0396
5,dev,74.1848
6,train,99.0969
6,dev,74.7962
7,train,99.1972
7,dev,74.2527
8,train,99.2116
8,dev,73.7772
9,train,99.2546
9,dev,75.0000
10,train,99.3263
10,dev,73.3696
11,train,99.2833
11,dev,74.4565
12,train,99.3979
12,dev,73.3016
13,train,99.3836
13,dev,74.1168
14,train,99.4123
14,dev,74.0489
15,train,99.4553
15,dev,75.2038
16,train,99.4553
16,dev,74.5245
17,train,99.4696
17,dev,74.9321
18,train,99.4696
18,dev,74.5924
19,train,99.4983
19,dev,73.7092
20,train,99.4839
20,dev,75.4076
