epoch,phase,acc
1,train,99.4553
1,dev,75.5435
2,train,99.6560
2,dev,72.6902
3,train,99.6990
3,dev,75.7473
4,train,99.7706
4,dev,74.9321
5,train,99.7706
5,dev,74.3207
6,train,99.7706
6,dev,73.9810
7,train,99.7706
7,dev,73.7092
8,train,99.7706
8,dev,73.6413
9,train,99.7706
9,dev,73.3016
10,train,99.7706
10,dev,73.4375
11,train,99.7706
11,dev,73.5054
12,train,99.7706
12,dev,73.1658
13,train,99.7850
13,dev,73.7092
14,train,99.7706
14,dev,73.4375
15,train,99.7706
15,dev,73.9810
16,train,99.7706
16,dev,73.5054
17,train,99.7706
17,dev,73.6413
18,train,99.7706
18,dev,73.3696
19,train,99.7706
19,dev,73.4375
20,train,99.7706
20,dev,73.3016
