epoch,phase,loss
1,train,0.0017
1,dev,0.5686
2,train,0.0012
2,dev,0.5955
3,train,0.0010
3,dev,0.5622
4,train,0.0010
4,dev,0.5704
5,train,0.0011
5,dev,0.5797
6,train,0.0012
6,dev,0.5835
7,train,0.0015
7,dev,0.5863
8,train,0.0018
8,dev,0.5856
9,train,0.0023
9,dev,0.5907
10,train,0.0030
10,dev,0.5892
11,train,0.0040
11,dev,0.5893
12,train,0.0055
12,dev,0.5916
13,train,0.0073
13,dev,0.5869
14,train,0.0102
14,dev,0.5898
15,train,0.0137
15,dev,0.5835
16,train,0.0182
16,dev,0.5884
17,train,0.0237
17,dev,0.5870
18,train,0.0301
18,dev,0.5917
19,train,0.0374
19,dev,0.5897
20,train,0.0458
20,dev,0.5924
