epoch,phase,acc
1,train,73.9966
1,dev,72.1467
2,train,83.6009
2,dev,82.6087
3,train,84.6187
3,dev,85.1902
4,train,85.2638
4,dev,65.0815
5,train,85.9088
5,dev,41.5082
6,train,85.9088
6,dev,81.0462
7,train,86.5539
7,dev,62.8397
8,train,87.2850
8,dev,82.6087
9,train,87.2420
9,dev,56.9973
10,train,87.5287
10,dev,64.2663
11,train,88.4891
11,dev,79.3478
12,train,88.7471
12,dev,86.3451
13,train,89.2489
13,dev,67.7310
14,train,89.4639
14,dev,77.5815
15,train,90.0229
15,dev,63.2473
16,train,90.0946
16,dev,73.3016
17,train,89.4495
17,dev,75.4076
18,train,90.9834
18,dev,79.6875
19,train,91.0694
19,dev,66.4402
20,train,89.8796
20,dev,80.7745
