epoch,phase,loss
1,train,0.0300
1,dev,0.7481
2,train,0.0262
2,dev,0.6041
3,train,0.0289
3,dev,0.5285
4,train,0.0328
4,dev,0.7235
5,train,0.0372
5,dev,0.8930
6,train,0.0422
6,dev,0.5460
7,train,0.0467
7,dev,0.7277
8,train,0.0505
8,dev,0.5092
9,train,0.0565
9,dev,0.8037
10,train,0.0618
10,dev,0.7123
11,train,0.0628
11,dev,0.5293
12,train,0.0678
12,dev,0.4406
13,train,0.0725
13,dev,0.6925
14,train,0.0785
14,dev,0.5620
15,train,0.0831
15,dev,0.7612
16,train,0.0888
16,dev,0.6207
17,train,0.1000
17,dev,0.5756
18,train,0.0987
18,dev,0.5069
19,train,0.1067
19,dev,0.7449
20,train,0.1257
20,dev,0.5157
