epoch,phase,acc
1,train,90.9260
1,dev,79.2799
2,train,92.5889
2,dev,87.7717
3,train,93.9507
3,dev,73.0299
4,train,95.6995
4,dev,75.0000
5,train,96.8320
5,dev,77.1060
6,train,97.3194
6,dev,74.1168
7,train,97.9071
7,dev,74.5245
8,train,97.9358
8,dev,73.7772
9,train,97.9358
9,dev,74.7283
10,train,97.9788
10,dev,74.7283
11,train,97.9214
11,dev,74.1848
12,train,97.9501
12,dev,73.9810
13,train,97.9214
13,dev,73.9810
14,train,97.9501
14,dev,73.9130
15,train,97.9214
15,dev,74.2527
16,train,97.9071
16,dev,74.2527
17,train,97.9214
17,dev,73.7772
18,train,97.9071
18,dev,73.9810
19,train,97.9071
19,dev,73.7092
20,train,97.9071
20,dev,73.8451
