epoch,phase,loss
1,train,0.0155
1,dev,0.5946
2,train,0.0135
2,dev,0.4721
3,train,0.0135
3,dev,0.6164
4,train,0.0108
4,dev,0.5896
5,train,0.0103
5,dev,0.5539
6,train,0.0103
6,dev,0.5869
7,train,0.0100
7,dev,0.5795
8,train,0.0116
8,dev,0.5904
9,train,0.0134
9,dev,0.5776
10,train,0.0157
10,dev,0.5805
11,train,0.0190
11,dev,0.5881
12,train,0.0228
12,dev,0.5917
13,train,0.0277
13,dev,0.5934
14,train,0.0334
14,dev,0.5938
15,train,0.0403
15,dev,0.5908
16,train,0.0480
16,dev,0.5900
17,train,0.0567
17,dev,0.5947
18,train,0.0663
18,dev,0.5927
19,train,0.0770
19,dev,0.5957
20,train,0.0886
20,dev,0.5944
