epoch,phase,acc
1,train,98.4662
1,dev,78.1929
2,train,99.2116
2,dev,77.5136
3,train,99.3836
3,dev,76.8342
4,train,99.4123
4,dev,78.2609
5,train,99.4553
5,dev,77.7174
6,train,99.5126
6,dev,77.7853
7,train,99.5413
7,dev,77.5136
8,train,99.5700
8,dev,78.2609
9,train,99.5700
9,dev,78.6005
10,train,99.5843
10,dev,79.1440
11,train,99.6130
11,dev,78.1929
12,train,99.6416
12,dev,76.6984
13,train,99.6560
13,dev,78.3967
14,train,99.6990
14,dev,78.4647
15,train,99.6846
15,dev,78.7364
16,train,99.6990
16,dev,78.6685
17,train,99.7133
17,dev,77.5815
18,train,99.7133
18,dev,77.4457
19,train,99.7133
19,dev,77.3777
20,train,99.7133
20,dev,77.4457
