epoch,phase,loss
1,train,0.0031
1,dev,0.5492
2,train,0.0020
2,dev,0.5580
3,train,0.0020
3,dev,0.5628
4,train,0.0021
4,dev,0.5467
5,train,0.0023
5,dev,0.5514
6,train,0.0025
6,dev,0.5511
7,train,0.0029
7,dev,0.5573
8,train,0.0033
8,dev,0.5505
9,train,0.0037
9,dev,0.5392
10,train,0.0043
10,dev,0.5293
11,train,0.0050
11,dev,0.5468
12,train,0.0059
12,dev,0.5652
13,train,0.0071
13,dev,0.5377
14,train,0.0085
14,dev,0.5357
15,train,0.0102
15,dev,0.5275
16,train,0.0121
16,dev,0.5308
17,train,0.0147
17,dev,0.5429
18,train,0.0192
18,dev,0.5453
19,train,0.0247
19,dev,0.5480
20,train,0.0310
20,dev,0.5467
