epoch,phase,acc
1,train,99.5413
1,dev,76.9701
2,train,99.7276
2,dev,78.3967
3,train,99.8567
3,dev,79.4837
4,train,99.8853
4,dev,79.1440
5,train,99.8853
5,dev,78.8043
6,train,99.8853
6,dev,78.3967
7,train,99.8853
7,dev,78.6005
8,train,99.8853
8,dev,78.5326
9,train,99.8853
9,dev,78.2609
10,train,99.8853
10,dev,78.2609
11,train,99.8853
11,dev,78.3288
12,train,99.8853
12,dev,78.4647
13,train,99.8853
13,dev,78.4647
14,train,99.8853
14,dev,78.3967
15,train,99.8853
15,dev,78.4647
16,train,99.8853
16,dev,78.3967
17,train,99.8853
17,dev,78.3967
18,train,99.8853
18,dev,78.3288
19,train,99.8853
19,dev,78.2609
20,train,99.8853
20,dev,78.2609
