epoch,phase,loss
1,train,0.0011
1,dev,0.5523
2,train,0.0007
2,dev,0.5299
3,train,0.0004
3,dev,0.5152
4,train,0.0004
4,dev,0.5207
5,train,0.0005
5,dev,0.5264
6,train,0.0006
6,dev,0.5302
7,train,0.0007
7,dev,0.5298
8,train,0.0009
8,dev,0.5280
9,train,0.0012
9,dev,0.5345
10,train,0.0017
10,dev,0.5343
11,train,0.0025
11,dev,0.5339
12,train,0.0037
12,dev,0.5319
13,train,0.0055
13,dev,0.5331
14,train,0.0081
14,dev,0.5339
15,train,0.0116
15,dev,0.5322
16,train,0.0160
16,dev,0.5345
17,train,0.0215
17,dev,0.5339
18,train,0.0279
18,dev,0.5348
19,train,0.0352
19,dev,0.5352
20,train,0.0435
20,dev,0.5358
