epoch,phase,acc
1,train,75.4587
1,dev,53.5326
2,train,85.0774
2,dev,78.3967
3,train,87.8584
3,dev,56.7935
4,train,88.4318
4,dev,65.4891
5,train,88.0017
5,dev,75.0679
6,train,89.6216
6,dev,81.3859
7,train,89.5499
7,dev,71.2636
8,train,90.2236
8,dev,72.3505
9,train,90.1376
9,dev,66.3723
10,train,90.8400
10,dev,70.7201
11,train,91.1697
11,dev,70.2446
12,train,90.1806
12,dev,70.1766
13,train,90.7683
13,dev,68.4783
14,train,93.0906
14,dev,76.9022
15,train,94.5958
15,dev,79.2799
16,train,95.6852
16,dev,79.0082
17,train,96.3016
17,dev,79.6875
18,train,96.8750
18,dev,78.3288
19,train,97.2190
19,dev,74.1848
20,train,97.3050
20,dev,78.4647
